Comment_Number,comment
67,I better not randomly pass away before this drops imma be pisssssed
68,"The fact it's in-game footage absolutely shows the work Rockstar's done through the last years, amazing."
69,this isn’t just a game… it’s our childhood coming back to life with mind blowing graphics !
70,Shout out to all the homies I lost that was waiting to play this. 2 of my close friends used to always joke about surviving till this game came out.  Steve had a seizure in his sleep and died my other homie Carlos went back to Mexico to have a heart transplant and died. Now I feel like I’m not gonna be around to play this. We all waited in line together at game stop for gta V now it’ll just me in line. 
71,I unironically believe there will be world peace even for a little while when this releases
72,im 52 years old. this is going to be my last Grand theft auto.
73,Nice simple trailer just gets me fired UP!
74,I never imagined i get chance to watch this early for a GTA VI trailer..........
75,See you in 10 years when we come back to this trailer for the good old days gents
76,I never imagined the trailer would come out today! Finally
77,"Trailer 1: A gaming leap️
Trailer 2: A movie️"
78,"""been looking forward to this game"" - old man"
79,Don’t mind me. Just leaving a comment to remind my grandkids I was here for this historic event.
80,"Thanks for dropping . Now I have to watch 1500000 youtuber analysing this trailer for a whole year , looking at blades of grass trying to find a spoiler"
81,May 26 2026. Looks like I’ll be sick that day.
82,Music selection is ALWAYS on point with Rockstar
83,"""ALL YOU NEED TO DO IS SURVIVE THIS DAMN YEAR CJ"""
84,Can’t believe i watch instantly after it was uploaded. Xaitonk is our best chance!
85,This is going to skyrocket the expectations for video game quality for the next decade.
86,I wish my dad lived to see this. He only lived to see the 1st trailer.
87,30 million views in just 7 hours shows how anticipated this game is.
88,"Survived COVID, inflation, and three Spider-Man reboots just to make it to this trailer… now I gotta survive till 2026 too? Damn"
89,"Bro, I finished school, college, and changed jobs waiting for this."
90,Finally… I lived long enough to see the first and second trailers.
91,Here we go...
92,"Rockstar really knows how to craft atmosphere—this trailer doesn’t just show a game, it sells a whole chaotic, sun-soaked world. The characters feel alive, the pacing is sharp, and the details are unreal. If the final game captures even half this energy, it’s going to be unforgettable."
93,"Told my boss i'll quit my job on the 26th May 2026...he said, ""same lol"""
94,Can't wait for youtube to recommend me this video in 12 years randomly.
95,I hope we all live to see it.
96,At this rate I’ll be seeing GTA 7 trailers from a retirement home bed.
97,Hmm.... 93 million in only 2 day is insane goes to show how anticipated and iconic this series truly is 
98,"Finally, we lived long enough to see the first and second trailers"
99,"The graphics, the vibes, the chaos — this trailer just raised the bar for open-world games AGAIN."
100,Thank you guys for your hard work
101,SAW THIS WHILE BEING UPLOADED 20 Seconds Ago. IM BLESSED
102,Man the visuals felt so real like a movie
103,the details in the game is insane. This is game Art at its best.
104,I am now convinced that these dates are not for the game itself but just the release of its next trailer
105,"GTA VI is playing real life "" Survival"" game with us"
106,Walking and driving around the map would be my summer vacation
107,...I was a teenager when Vice City came out. Loved that game. Now I'll be playing this thing at 40.
108,I've never seen a YouTube video reach 10 million views in such a short amount of time before. Just shows how frickin patient everyone in their mother was for this legendary game to finally get released
109,I feel a really bad sickness coming May of next year!
110,This is one of those special moments that unites the internet for a while
111,I‘m so mad that this Trailer managed to calm me down about the delay. Looks really nice. Literally Bonnie and Clyde
112,"As someone who grew up with GTA Vice City, playing this game means that my memories will come flooding back."
113,I hope we all live to see this game release with how the world is going...
114,I love how Rockstar drops a trailer on a random Tuesday without countdown
115,Bro this not GTA VI this is GTA: Real Life Vice City Edition
116,I'm so down for a Bonnie and Clyde type story from Rockstar. What a great setting for a story.
117,The fact that both Trailer 1 and Trailer 2 are breaking likes and views records shows the amount of hype for the game. The most anticipated game EVER.
118,This deserves way more views. Absolutely underrated
119,"63 million in 20 hrs shows how much hype this game has 
i liked it
edit- 81 million at 1 day with 5 million likes now with #2 trending"
120,"""Do you know why you're here?""

""Waiting another year I guess"""
121,Whouuaaaaa it’s crazy 
122,"GTA V came out when I was 27. Back when life was simpler, and the world felt wide open. Now, at 39, GTA VI arrives not just as a game but as a reminder of who I was and proof that some dreams, even if they take time, are still worth waiting for."
123,The attention to the little details is insane
124,"What a pleasure to (still) be alive and be witness to this magic! GTA III, VC, SA, IV, V, all masterpieces! Cannot stop watching this trailer!"
125,This will be nostalgic soon
126,"I'll give this trailer props for not showing major
plot points and just showing us bits and pieces
to keep us interested for the actual game."
127,"As a Floridian, I’ve never felt so seen. This game literally sums up the state so well and it isn’t even central where I am"
128,Recent news has stated that death rate has significantly gone down
129,"RIP Matt. We'll all play together for you, pal."
130,"If you had a bad day, a trailer 2 is all you needed"
131,vice city vibes and 80s music thats all we need :)
132,"It brings every YouTubers here, big or small, we all united. This shows how big this game is to us"
133,Jason's new design looks 100x better. Rockstar Games is cooking
134,I ve had this on repeat all day
135,I Love how this is a slow trailer really get to be able to soak it all in
136,I was having the worst day of the year and this literally turned my bad day into a great one
137,Coming back in 10 years to watch this for nostalgia
138,"dang man, the graphics looks impresive"
139,Rockstar never disappoints with their soundtracks!
140,"This trailer made my day and I hope it won't get delayed again, but we'll see"
141,Releasing a trailer every year will extend the life of any human being by one year.
142,"This was very informative, appreciate it."
143,"Brian: ""What you doing up there?""
Jason: ""Oh, just fixing some leaks""
I SEE...I SEE WHAT YOU'VE DONE THERE @RockstarGames !!!"
144,"Rockstar took so long I forgot what a video game is. I had kids, raised them, and they just watched the trailer too. It's a generational release now"
145,And I remember playing Grand Theft Auto - Vice City in 2002... It was a lot of fun back then.
146,Can we all agree this creator deserves more recognition
147,Give a moment of silence for the developers doin that jiggly animation
148,Softening the blow of the delay by an amazing trailer piece
149,"“I’m just fixing some leaks.”
I see what you did there with that line rockstar."
150,Cool. We can just watch this 3 minute video over and over for a year.
151,Imagine winning 2 times in a row the game award for the most anticipated game of the year 
152,Already my 6th time watching this today...
153,GTA VI will last so long that our grandchildren will probably play it too
154,Rockstar making my day with only 3 minutes of content
155,The lighting and detail looks so good.  I can hear my xbox begging for mercy now
156,"GTA: Vice City in 2002, very fond memories. Hoping this will give the same feels."
157,"""Was just fixing some leaks""
this one got me lol"
158,"Just finished work, walked through the door, sat in the toilet and BOOM!
Best toilet visit ever."
159,True Rockstar fashion. Dropping this gem when no one’s expecting it. Rock on!!
160,The trailer starting with 'Just fixing some leaks 'is the cherry on top
161,"The soundtrack from the 1980s and GTA Vice City is so nostalgic and spot-on. Rockstar takes their time, but they know how to satisfy their fans."
162,Your consistency is inspiring—keep going
163,The editing is top-tier. Seriously impressive
164,Can we all agree this creator deserves more recognition
165,"Thanks for dropping . Now I have to watch 1500000 youtuber analysing this trailer for a whole year , looking at blades of grass trying to find a spoiler"
166,The way you explained this is SO clear. Thank you
167,This deserves way more views. Absolutely underrated
168,The editing is top-tier. Seriously impressive
169,Can we all agree this creator deserves more recognition
170,The way you explained this is SO clear. Thank you
171,This deserves way more views. Absolutely underrated
172,Your consistency is inspiring—keep going
173,The way you explained this is SO clear. Thank you
174,This deserves way more views. Absolutely underrated
175,The editing is top-tier. Seriously impressive
176,Your consistency is inspiring—keep going
177,The way you explained this is SO clear. Thank you
178,This deserves way more views. Absolutely underrated
179,The editing is top-tier. Seriously impressive
180,Will be listening to DJ Toni on Flash FM again after all these years.
181,Your consistency is inspiring—keep going
182,The editing is top-tier. Seriously impressive
183,The way you explained this is SO clear. Thank you
184,This deserves way more views. Absolutely underrated
185,Your consistency is inspiring—keep going
186,Your consistency is inspiring—keep going
187,This deserves way more views. Absolutely underrated
188,The editing is top-tier. Seriously impressive
189,This deserves way more views. Absolutely underrated
190,The editing is top-tier. Seriously impressive
191,Your consistency is inspiring—keep going
192,This deserves way more views. Absolutely underrated
193,The editing is top-tier. Seriously impressive
194,This deserves way more views. Absolutely underrated
195,The editing is top-tier. Seriously impressive
196,The editing is top-tier. Seriously impressive
197,The editing is top-tier. Seriously impressive
198,The editing is top-tier. Seriously impressive
199,The editing is top-tier. Seriously impressive
